QID Code,Risk ID,Risk Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_51,R_AR_101,"An attacker who steals this long-lived token effectively gains a ""Golden Ticket."" Because the AI system is designed to allow long sessions without re-MFA (to avoid breaking the AI's flow), the attacker can maintain Persistence for days or weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_51,R_AR_102,"If an employee is terminated or a project is shut down, the Identity Provider (IdP) disables the account. However, if an AI reasoning task is already ""in flight"" using a valid 12-hour Refresh Token, the AI Gateway may not check back with the IdP until the next refresh cycle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_51,R_AR_103,"If a task takes 30 minutes, the agent might need to call 5 different APIs. If the token management is weak, the agent's token often defaults to a ""Super-Scope"" (broad access) rather than ""Least Privilege"" just to ensure it doesn't hit a 403 Forbidden error halfway through",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_52,R_AR_104,"creates a vulnerability where malicious actors can deploy AI agents that impersonate human users to gain unauthorized access to systems, data, and resources across the federated environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_52,R_AR_105,"attribution gap degrades the integrity and reliability of audit trails across federated identity systems, creating compliance violations and legal liability exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_53,R_AR_106,"Without distinct identities, audit logs may only record a generic ""Agent"" action or incorrectly attribute an autonomous AI decision to a human user who merely initiated a session days prior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_53,R_AR_107,"If a single set of credentials grants access to all corporate models, an attacker who compromises a low-level account or a limited-use AI agent suddenly inherits access to high-reasoning models or models connected to sensitive financial/PII data stores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_54,R_AR_108,attackers can embed malicious instructions that override your application's core behavioral rules and safety constraints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_54,R_AR_109,"attackers can craft inputs that manipulate the AI into leaking information from other users' sessions, documents, or system context.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_55,R_AR_110,"Without output filtering or detection mechanisms for model inversion attacks, adversaries can use iterative queries to reconstruct sensitive training data, including personal information, proprietary datasets, or confidential records that were used to train the AI model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_55,R_AR_111,"Without filtering mechanisms to detect membership inference attacks, adversaries can determine whether specific individuals' data was included in your training dataset, revealing sensitive affiliations, medical conditions, or demographic information that individuals intended to keep private.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_56,R_AR_112,"from autonomous agents, the agents can directly access, extract, or abuse these credentials, leading to massive unauthorized usage, billing fraud, and potential data breaches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_56,R_AR_113,"credentials can be extracted from network traffic, client-side code, or debug logs, enabling attackers to impersonate the service and access backend systems directly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_57,R_AR_114,"AI agent's API connectivity layer doesn't protect against SSRF, attackers can manipulate the agent to access cloud metadata services (AWS, Azure, GCP) at predictable internal addresses, stealing temporary IAM credentials and achieving full cloud account compromise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_57,R_AR_115,"Without SSRF protection, attackers manipulate AI agents to systematically scan internal networks, map infrastructure topology, identify vulnerable services, and discover attack surfaces that would otherwise be protected by perimeter defenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_58,R_AR_116,"An AI agent with static ""write"" permissions could perform destructive operations (delete records, modify production configurations, execute financial transactions) even when its current task only requires read access. If the agent is compromised, behaves unpredictably, or misinterprets instructions, there's no contextual safeguard preventing it from taking actions far beyond its intended scope.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_58,R_AR_117,"an AI agent granted access to a database for a legitimate task (e.g., ""summarize Q3 sales"") could potentially access and exfiltrate the entire customer database, including sensitive PII, financial records, or health information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_59,R_AR_118,"If the gateway does not verify the digital signature of the MCP server, an attacker can replace a legitimate tool with a fake one that appears trusted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_59,R_AR_119,A compromised or swapped MCP tool could silently collect and transmit data to external attacker-controlled endpoints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
