QID Code,Domain,Department,Category,Cluster,Question Text,Response Type,Trigger Points,Is Universal
AR_01,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Do you have a strategy for token expiry versus long-running AI tasks?,Yes | No | Partial | Not Applicable,,0
AR_02,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Do you distinguish between a “Human User” and an “Autonomous AI Agent” in your federation logic?,Yes | No | Partial | Not Applicable,,0
AR_03,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Are you using scoped permissions, or does a valid login grant access to every model in the company?",Yes | No | Partial | Not Applicable,,0
AR_04,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does your prompt shield analyze the content of “System Prompt” injections versus “User Prompt” injections?,Yes | No | Partial | Not Applicable,,0
AR_05,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Is your output filter capable of detecting “Model Inversion” or “Membership Inference” attacks?,Yes | No | Partial | Not Applicable,,0
AR_06,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,"How does your gateway handle provider credentials (e.g., OpenAI API keys) without exposing them to the “Autonomous Agent” or “End User”?",Yes | No | Partial | Not Applicable,,0
AR_07,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does your API connectivity layer protect against Server-Side Request Forgery (SSRF) when the AI decides to call an external tool?,Yes | No | Partial | Not Applicable,,0
AR_08,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Can your gateway restrict an AI agent’s API access based on the “Task Context” rather than static permissions?,Yes | No | Partial | Not Applicable,,0
AR_09,General,Risk & Security,third_party_vendor_supply_chain,Cluster 5 — Operational & Infrastructure Risk,How are you validating the integrity of the tools provided to the AI through protocols such as MCP?,Yes | No | Partial | Not Applicable,,0
AR_10,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,How does your rate limiting distinguish between input and output tokens to prevent GPU starvation?,Yes | No | Partial | Not Applicable,,0
AR_11,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Does your rate-limiting logic enforce global quotas while maintaining per-identity fairness?,Yes | No | Partial | Not Applicable,,0
AR_12,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Does your gateway dynamically adjust rate limits based on the token cost of different models?,Yes | No | Partial | Not Applicable,,0
AR_13,General,Risk & Security,intellectual_property_rights,"Cluster 4 — Governance, Compliance & Legal",How does the automated ingestion system verify that you have the legal rights or user consent to use specific data for AI processing?,Yes | No | Partial | Not Applicable,,0
AR_14,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Can the system provide a cryptographically verifiable “birth certificate” for every data point used in the final model weights?,Yes | No | Partial | Not Applicable,,0
AR_15,General,Risk & Security,intellectual_property_rights,"Cluster 4 — Governance, Compliance & Legal","For datasets sourced from third parties or open-source platforms (e.g., Hugging Face), do automated checks verify the license metadata and terms-of-service alignment to prevent legal “poisoning”?",Yes | No | Partial | Not Applicable,,0
AR_16,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Is there a transparent audit trail of every automated and manual modification made to the raw data before it became a feature?,Yes | No | Partial | Not Applicable,,0
AR_17,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does the system architecture enforce a logical separation between “System Instructions” and “User-Provided Data” to prevent instruction overriding?,Yes | No | Partial | Not Applicable,,0
AR_18,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you have automated mechanisms in place to classify and block user intent that specifically targets “jailbreaking” or safety-filter bypass?,Yes | No | Partial | Not Applicable,,0
