AI Use Case,audit_assurance_review,bias_fairness_discrimination,board_executive_oversight,privacy_personal_data_protection,explainability_transparency,ai_system_security_adversarial_risk,model_performance_reliability,accountability_responsibility_assignment_formal,human_oversight_intervention,data_governance_quality_lineage_enterprise,model_development_other,model_training_data_management,deployment_release_management,environmental_sustainability_impact,ethical_use_principles,third_party_vendor_supply_chain,roles_responsibilities_competence_working,policies_procedures_documentation,incident_response_recovery,legal_regulatory_compliance,stakeholder_communication_disclosure,fraud_misuse_abuse,human_factors_behavioral_risk,intellectual_property_rights,meta_cognitive_meta_governance,mlops_model_operations_management,shadow_unauthorized_ai,risk_management_liability_insurance,staff_training_ai_literacy,staff_dislocation_retraining_change_management,return_on_ai_investment,cloud_provider_technical_environment,model_validation_testing,agents_and_agent_orchestration,LLM_prompting,
Question Count →,n=14,n=12,n=3,n=16,n=4,n=37,n=1,n=9,n=15,n=30,n=1,n=9,n=5,n=2,n=1,n=28,n=6,n=14,n=20,n=11,n=11,n=9,n=4,n=7,n=6,n=18,n=7,n=10,n=5,n=4,n=1,n=37,n=5,n=12,n=3,
General AI assistant,,,,13.3,11.9,13.6,11.9,,,11.9,,,,,,,,11.9,,,,,,,,,11.9,,,,,,,,13.6,100
Employee copilot,,,,15.6,,11.5,11.5,,,15.4,,,,,,,11.5,11.5,,,,,,,,,11.5,,,,,,,,11.5,100
Customer chatbot,,,,10.3,10.3,13.8,13.8,,10.3,,,,,,,,,,,10.3,17.4,,,,,,,,,,,,,,13.8,100
Search and question-answering,,,,10.3,13.8,10.3,17.4,,,13.8,,,,,,,,,,10.3,,,,10.3,,,,,,,,,,,13.8,100
Document summarization,,,,14.3,10.7,10.7,14.3,,,10.7,,,,,,,,,,10.7,,,,14.3,,,,,,,,,,,14.3,100
Content generation,,10.7,,,10.7,,,,10.7,,,,,,10.7,,,,,10.7,14.3,,,17.9,,,,,,,,,,,14.3,100
Email or communications assistant,,,,15.6,,11.5,,,11.5,,,,,,,,11.5,11.5,,11.5,15.4,,,,,,,,,,,,,,11.5,100
Meeting and productivity assistant,,,,18.6,,14.8,11.1,,,11.1,,,,,,,11.1,11.1,,11.1,,,,,,,,,11.1,,,,,,,100
Knowledge assistant,,,,11.1,14.8,11.1,14.9,,,14.8,,,,,,,,11.1,,,,,,11.1,,,,,,,,,,,11.1,100
Workflow automation,,,,,,10,16.8,13.3,13.3,,,,,,,,13.3,,10,10,,,,,,,,,,,,,,13.3,,100
AI connected to internal systems,,,,13.8,,17.4,13.8,,,13.8,,,10.3,,,10.3,,,10.3,10.3,,,,,,,,,,,,,,,,100
Data analysis and insights,,13.8,,10.3,13.8,,13.8,10.3,,17.4,,,,,,,,,,10.3,,,,,,,,,,,,,10.3,,,100
Decision support,,13.3,,,16.8,,13.3,13.3,13.3,,,,,,10,,,,,10,,,,,,,,10,,,,,,,,100
Recommendations or personalization,,14.3,,14.3,10.7,,,,,14.3,,,,,,,,,,10.7,14.3,,10.7,10.7,,,,,,,,,,,,100
Developer or coding assistant,,,,,,13.8,10.3,,,,13.8,,10.3,,,,,,,10.3,,,,17.4,,,10.3,,,,,,,,13.8,100
Sensitive-data AI use case,10,,,16.7,,16.7,,10,,13.3,,,,,,,,10,10,13.3,,,,,,,,,,,,,,,,100
Model training or fine-tuning,,18.6,,11.1,,,,,,14.8,11.1,18.5,,,,,,,,,,,,11.1,,,,,,,,,14.8,,,100
Autonomous or multi-agent system,,,,,,18.2,18.2,18.2,22.7,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,100
AI built into our product,,,,,,10.7,14.3,10.7,,,14.3,,14.3,,,,,,,10.7,14.3,,,10.7,,,,,,,,,,,,100
AI embedded in third party software we use,,,,14.3,,14.3,,,,10.7,,,,,,17.9,,10.7,,10.7,,,,,,,10.7,10.7,,,,,,,,100
AI used to support company research projects,,10.3,,,13.8,,17.4,10.3,13.8,,,,,,,,,,,13.8,,,,10.3,,,,,,,,,,,10.3,100
AI used to prepare legal or regulatory reporting,16.7,,,,10,,13.3,13.3,10,,,,,,,,,10,,16.7,,,,,,,,10,,,,,,,,100
AI used in hiring,,17.4,,13.8,10.3,,,10.3,13.8,,,,,,10.3,,,,,13.8,,,10.3,,,,,,,,,,,,,100
AI use case with high potential for human harm,,18.2,,,,,,22.7,22.7,,,,,,18.2,,,,,18.2,,,,,,,,,,,,,,,,100
Cloud/Other / not sure,,,,12.5,,12.5,,,,12.5,,,,,,,,12.5,,12.5,,,,,,,12.5,12.5,,,,12.5,,,,100
,26.7,116.6,0,215.9,147.6,210.9,226.1,132.4,142.1,174.5,39.2,18.5,34.9,0,49.2,28.2,47.4,100.3,30.3,235.9,75.7,0,21,113.8,0,0,56.9,43.2,11.1,0,0,12.5,25.1,36,128,2500
,1%,5%,0%,9%,6%,8%,9%,5%,6%,7%,2%,1%,1%,0%,2%,1%,2%,4%,1%,9%,3%,0%,1%,5%,0%,0%,2%,2%,0%,0%,0%,1%,1%,1%,5%,100%
