AI systems ,audit,bias_fairness,board_directors,privacy,explainability_transparency,security,reliability,accountability,human_oversight,data_data_governance,development,model_training,deployment_maintenance,environmental,ethical,third_party_supply_chain,organizational_business_process,policies_procedures_documentation,incident_management,legal_regulatory,customer_reputational,fraud_defalcation,human_factors_social_psychographic,intellectual_property,meta_cognitive_meta_governance,operations_model_management,shadow_unauthorized_ai,risk_management_liability_insurance,staff_training_skill,staff_dislocation_retraining,roi,cloud_provider_technical_environment,ai_technical,agents and agent orchestration,LLM/prompting
General AI assistant,0,0,0,13.3,11.9,13.6,11.9,0,0,11.9,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,13.6
Employee copilot,0,0,0,15.6,0,11.5,11.5,0,0,15.4,0,0,0,0,0,0,11.5,11.5,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,11.5
Customer chatbot,0,0,0,10.3,10.3,13.8,13.8,0,10.3,0,0,0,0,0,0,0,0,0,0,10.3,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8
Search and question-answering,0,0,0,10.3,13.8,10.3,17.4,0,0,13.8,0,0,0,0,0,0,0,0,0,10.3,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,13.8
Document summarization,0,0,0,14.3,10.7,10.7,14.3,0,0,10.7,0,0,0,0,0,0,0,0,0,10.7,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,14.3
Content generation,0,10.7,0,0,10.7,0,0,0,10.7,0,0,0,0,0,10.7,0,0,0,0,10.7,14.3,0,0,17.9,0,0,0,0,0,0,0,0,0,0,14.3
Email or communications assistant,0,0,0,15.6,0,11.5,0,0,11.5,0,0,0,0,0,0,0,11.5,11.5,0,11.5,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
Meeting and productivity assistant,0,0,0,18.6,0,14.8,11.1,0,0,11.1,0,0,0,0,0,0,11.1,11.1,0,11.1,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0
Knowledge assistant,0,0,0,11.1,14.8,11.1,14.9,0,0,14.8,0,0,0,0,0,0,0,11.1,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,11.1
Workflow automation,0,0,0,0,0,10,16.8,13.3,13.3,0,0,0,0,0,0,0,13.3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0
AI connected to internal systems,0,0,0,13.8,0,17.4,13.8,0,0,13.8,0,0,10.3,0,0,10.3,0,0,10.3,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data analysis and insights,0,13.8,0,10.3,13.8,0,13.8,10.3,0,17.4,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0
Decision support,0,13.3,0,0,16.8,0,13.3,13.3,13.3,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Recommendations or personalization,0,14.3,0,14.3,10.7,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,10.7,14.3,0,10.7,10.7,0,0,0,0,0,0,0,0,0,0,0
